   1 lexema palavra chave: program 	na linha 1
   2 lexema palavra chave: integer 	na linha 3
   3 lexema caractere especial: : 	na linha 3
   4 lexema identificador: weight 	na linha 3
   5 lexema caractere especial: , 	na linha 3
   6 lexema identificador: group 	na linha 3
   7 lexema caractere especial: , 	na linha 3
   8 lexema identificador: charge 	na linha 3
   9 lexema caractere especial: , 	na linha 3
  10 lexema identificador: distance 	na linha 3
  11 lexema caractere especial: ; 	na linha 3
  12 lexema palavra chave: char 	na linha 4
  13 lexema caractere especial: : 	na linha 4
  14 lexema identificador: cintia 	na linha 4
  15 lexema caractere especial: ; 	na linha 4
  16 lexema palavra chave: begin 	na linha 5
  17 lexema identificador: distance 	na linha 6
  18 lexema atribuição: := 	na linha 6
  19 lexema constante: -2300 	na linha 6
  20 lexema caractere especial: ; 	na linha 6
  21 lexema constante: 12 	na linha 6
	Erro na linha: 6 	caractere desconhecido ou padrão não encontrado: . 
  22 lexema constante: 34 	na linha 6
  23 lexema constante: -1 	na linha 6
	Erro na linha: 6 	caractere desconhecido ou padrão não encontrado: . 
  24 lexema constante: 34 	na linha 6
  25 lexema constante: 436 	na linha 6
	Erro na linha: 6 	caractere desconhecido ou padrão não encontrado: . 
  26 lexema constante: 342 	na linha 6
  27 lexema palavra chave: read 	na linha 7
  28 lexema identificador: weight 	na linha 7
  29 lexema caractere especial: ; 	na linha 7
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: � 
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: � 
  30 lexema identificador: dfsa 	na linha 8
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: � 
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: � 
  31 lexema identificador: sd 	na linha 8
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: { 
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: ] 
	Erro na linha: 8 	caractere desconhecido ou padrão não encontrado: } 
  32 lexema palavra chave: if 	na linha 9
  33 lexema identificador: weight 	na linha 9
  34 lexema operador: > 	na linha 9
  35 lexema constante: 60 	na linha 9
  36 lexema palavra chave: then 	na linha 9
  37 lexema identificador: group 	na linha 9
  38 lexema atribuição: := 	na linha 9
  39 lexema constante: 5 	na linha 9
  40 lexema palavra chave: else 	na linha 10
  41 lexema identificador: group 	na linha 10
  42 lexema atribuição: := 	na linha 10
  43 lexema caractere especial: ( 	na linha 10
  44 lexema identificador: weight 	na linha 10
  45 lexema operador: + 	na linha 10
  46 lexema constante: 14 	na linha 10
  47 lexema caractere especial: ) 	na linha 10
  48 lexema operador: / 	na linha 10
  49 lexema constante: 15 	na linha 10
  50 lexema palavra chave: endif 	na linha 11
  51 lexema caractere especial: ; 	na linha 11
  52 lexema identificador: charge 	na linha 12
  53 lexema atribuição: := 	na linha 12
  54 lexema constante: 40 	na linha 12
  55 lexema operador: + 	na linha 12
  56 lexema constante: 3 	na linha 12
  57 lexema operador: * 	na linha 12
  58 lexema caractere especial: ( 	na linha 12
  59 lexema identificador: distance 	na linha 12
  60 lexema operador: / 	na linha 12
  61 lexema constante: 1000 	na linha 12
  62 lexema caractere especial: ) 	na linha 12
  63 lexema palavra chave: write 	na linha 13
  64 lexema identificador: charge 	na linha 13
  65 lexema palavra chave: end 	na linha 14
	Numero total de lexemas reconhecidos = 65
	Número total de erros = 10
